id,short_code,name,github_link,oomp_key,md5_6
electronic_header_2d54_mm_6_pin_surface_mount_right_angle,hi16psmra,Electronic Header 2D54 Mm 6 Pin Surface Mount Right Angle,https://github.com/oomlout/oomlout_oomp_part_src/tree/main/parts/electronic_header_2d54_mm_6_pin_surface_mount_right_angle,oomp_electronic_header_2d54_mm_6_pin_surface_mount_right_angle,424b30
electronic_header_2d54_mm_7_pin_right_angle,hi17pra,Electronic Header 2D54 Mm 7 Pin Right Angle,https://github.com/oomlout/oomlout_oomp_part_src/tree/main/parts/electronic_header_2d54_mm_7_pin_right_angle,oomp_electronic_header_2d54_mm_7_pin_right_angle,fc8f39
electronic_header_2d54_mm_7_pin_surface_mount,hi17psm,Electronic Header 2D54 Mm 7 Pin Surface Mount,https://github.com/oomlout/oomlout_oomp_part_src/tree/main/parts/electronic_header_2d54_mm_7_pin_surface_mount,oomp_electronic_header_2d54_mm_7_pin_surface_mount,76e233
electronic_header_2d54_mm_7_pin,hi17p,Electronic Header 2D54 Mm 7 Pin,https://github.com/oomlout/oomlout_oomp_part_src/tree/main/parts/electronic_header_2d54_mm_7_pin,oomp_electronic_header_2d54_mm_7_pin,3ec4f6
electronic_header_2d54_mm_7_pin_surface_mount_right_angle,hi17psmra,Electronic Header 2D54 Mm 7 Pin Surface Mount Right Angle,https://github.com/oomlout/oomlout_oomp_part_src/tree/main/parts/electronic_header_2d54_mm_7_pin_surface_mount_right_angle,oomp_electronic_header_2d54_mm_7_pin_surface_mount_right_angle,7a2708
electronic_header_2d54_mm_8_pin_right_angle,hi18pra,Electronic Header 2D54 Mm 8 Pin Right Angle,https://github.com/oomlout/oomlout_oomp_part_src/tree/main/parts/electronic_header_2d54_mm_8_pin_right_angle,oomp_electronic_header_2d54_mm_8_pin_right_angle,9e7884
electronic_header_2d54_mm_8_pin_surface_mount,hi18psm,Electronic Header 2D54 Mm 8 Pin Surface Mount,https://github.com/oomlout/oomlout_oomp_part_src/tree/main/parts/electronic_header_2d54_mm_8_pin_surface_mount,oomp_electronic_header_2d54_mm_8_pin_surface_mount,8bebf6
electronic_header_2d54_mm_8_pin,hi18p,Electronic Header 2D54 Mm 8 Pin,https://github.com/oomlout/oomlout_oomp_part_src/tree/main/parts/electronic_header_2d54_mm_8_pin,oomp_electronic_header_2d54_mm_8_pin,850fa7
electronic_header_2d54_mm_8_pin_surface_mount_right_angle,hi18psmra,Electronic Header 2D54 Mm 8 Pin Surface Mount Right Angle,https://github.com/oomlout/oomlout_oomp_part_src/tree/main/parts/electronic_header_2d54_mm_8_pin_surface_mount_right_angle,oomp_electronic_header_2d54_mm_8_pin_surface_mount_right_angle,9274ec
electronic_header_2d54_mm_9_pin_right_angle,hi19pra,Electronic Header 2D54 Mm 9 Pin Right Angle,https://github.com/oomlout/oomlout_oomp_part_src/tree/main/parts/electronic_header_2d54_mm_9_pin_right_angle,oomp_electronic_header_2d54_mm_9_pin_right_angle,0b257c
